Street Name,Total Spots,6:00 AM Occupied,7:00 AM Occupied,8:00 AM Occupied,9:00 AM Occupied,10:00 AM Occupied,11:00 AM Occupied,12:00 PM Occupied,1:00 PM Occupied,2:00 PM Occupied,3:00 PM Occupied,4:00 PM Occupied,5:00 PM Occupied,6:00 PM Occupied,7:00 PM Occupied,8:00 PM Occupied
Chester Square,83,50,36,31,33,32,27,26,26,25,28,33,39,44,49,51
Massachusetts Avenue,71,55,51,49,43,52,55,54,51,54,50,49,45,47,53,51
Northampton Street,91,64,58,49,44,46,49,42,42,44,46,48,55,62,67,73
Shawmut Avenue,33,26,25,23,21,22,23,21,23,22,23,23,23,26,27,26
Tremont Street,24,20,19,15,12,18,18,18,15,13,15,14,12,18,20,20
W. Springfield Street,81,65,63,58,59,60,64,63,63,63,59,63,68,76,77,75
