Absolute Spot Number,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,Street Name
217,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Unoccupied,Unoccupied,Occupied,Occupied,Occupied,Occupied,W. Springfield Street
218,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Unoccupied,Occupied,Occupied,Occupied,Occupied,Occupied,W. Springfield Street
219,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Unoccupied,Unoccupied,Unoccupied,Occupied,Occupied,Occupied,W. Springfield Street
220,Occupied,Occupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,W. Springfield Street
221,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,W. Springfield Street
222,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,W. Springfield Street
223,Unoccupied,Occupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,W. Springfield Street
224,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,W. Springfield Street
225,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,W. Springfield Street
226,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,W. Springfield Street
227,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,W. Springfield Street
228,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,W. Springfield Street
229,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,W. Springfield Street
230,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Unoccupied,Occupied,Occupied,Occupied,Occupied,Occupied,W. Springfield Street
231,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,W. Springfield Street
232,Unoccupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,W. Springfield Street
233,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Unoccupied,Unoccupied,Unoccupied,Occupied,Occupied,Occupied,Occupied,W. Springfield Street
234,Occupied,Occupied,Occupied,Occupied,Unoccupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,W. Springfield Street
235,Unoccupied,Occupied,Occupied,Occupied,Unoccupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,W. Springfield Street
236,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,W. Springfield Street
338,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,W. Springfield Street
339,Occupied,Occupied,Unoccupied,Unoccupied,Occupied,Occupied,Occupied,Occupied,Unoccupied,Occupied,Occupied,Unoccupied,Occupied,Occupied,Occupied,W. Springfield Street
340,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,W. Springfield Street
341,Occupied,Occupied,Occupied,Unoccupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,W. Springfield Street
342,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,W. Springfield Street
343,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,W. Springfield Street
344,Unoccupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,W. Springfield Street
345,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,W. Springfield Street
346,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,W. Springfield Street
347,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,W. Springfield Street
348,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Occupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Occupied,Occupied,Occupied,Occupied,W. Springfield Street
349,Occupied,Unoccupied,Unoccupied,Occupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Occupied,Occupied,Unoccupied,W. Springfield Street
350,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Occupied,Occupied,Occupied,Unoccupied,W. Springfield Street
351,Occupied,Occupied,Unoccupied,Occupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Occupied,Occupied,W. Springfield Street
352,Occupied,Occupied,Occupied,Unoccupied,Occupied,Occupied,Occupied,Unoccupied,Unoccupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,W. Springfield Street
353,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,W. Springfield Street
354,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,W. Springfield Street
355,Occupied,Occupied,Occupied,Unoccupied,Unoccupied,Occupied,Occupied,Occupied,Occupied,Unoccupied,Unoccupied,Unoccupied,Occupied,Occupied,Occupied,W. Springfield Street
356,Occupied,Unoccupied,Unoccupied,Occupied,Occupied,Unoccupied,Occupied,Occupied,Occupied,Unoccupied,Unoccupied,Unoccupied,Occupied,Occupied,Occupied,W. Springfield Street
357,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Unoccupied,Occupied,Unoccupied,Unoccupied,Occupied,Occupied,Occupied,Occupied,W. Springfield Street
358,Occupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,W. Springfield Street
359,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,W. Springfield Street
360,Occupied,Occupied,Unoccupied,Occupied,Unoccupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,W. Springfield Street
361,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,W. Springfield Street
362,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,W. Springfield Street
363,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,W. Springfield Street
364,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,W. Springfield Street
365,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,W. Springfield Street
366,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,W. Springfield Street
367,Occupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Occupied,Unoccupied,Occupied,Occupied,Occupied,Occupied,Occupied,W. Springfield Street
368,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,W. Springfield Street
369,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,W. Springfield Street
370,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,W. Springfield Street
371,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Unoccupied,Unoccupied,Occupied,Occupied,Occupied,Occupied,W. Springfield Street
372,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Unoccupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,W. Springfield Street
373,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,W. Springfield Street
374,Occupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Occupied,Occupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Occupied,Occupied,Occupied,Occupied,W. Springfield Street
375,Unoccupied,Occupied,Occupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,W. Springfield Street
